"Position","Name","Type","Signal","Label"
"1","PE2","I/O","FMC_A23",""
"2","PE3","I/O","FMC_A19",""
"3","PE4","I/O","FMC_A20",""
"4","PE5","I/O","FMC_A21",""
"5","PE6","I/O","FMC_A22",""
"6","VBAT","Power","",""
"7","PI8","I/O","",""
"8","PC13","I/O","",""
"9","PC14/OSC32_IN","I/O","RCC_OSC32_IN",""
"10","PC15/OSC32_OUT","I/O","RCC_OSC32_OUT",""
"11","PI9","I/O","LTDC_VSYNC",""
"12","PI10","I/O","LTDC_HSYNC",""
"13","PI11","I/O","USB_OTG_HS_ULPI_DIR",""
"14","VSS","Power","",""
"15","VDD","Power","",""
"16","PF0","I/O","FMC_A0",""
"17","PF1","I/O","FMC_A1",""
"18","PF2","I/O","FMC_A2",""
"19","PI12","I/O","",""
"20","PI13","I/O","",""
"21","PI14","I/O","LTDC_CLK",""
"22","PF3","I/O","FMC_A3",""
"23","PF4","I/O","FMC_A4",""
"24","PF5","I/O","FMC_A5",""
"25","VSS","Power","",""
"26","VDD","Power","",""
"27","PF6","I/O","QUADSPI_BK1_IO3",""
"28","PF7","I/O","QUADSPI_BK1_IO2",""
"29","PF8","I/O","QUADSPI_BK1_IO0",""
"30","PF9","I/O","QUADSPI_BK1_IO1",""
"31","PF10","I/O","QUADSPI_CLK",""
"32","PH0/OSC_IN","I/O","RCC_OSC_IN",""
"33","PH1/OSC_OUT","I/O","RCC_OSC_OUT",""
"34","NRST","Reset","",""
"35","PC0","I/O","USB_OTG_HS_ULPI_STP",""
"36","PC1","I/O","ETH_MDC",""
"37","PC2","I/O","ETH_TXD2",""
"38","PC3","I/O","ETH_TX_CLK",""
"39","VDD","Power","",""
"40","VSSA","Power","",""
"41","VREF+","Power","",""
"42","VDDA","Power","",""
"43","PA0/WKUP","I/O","ETH_CRS",""
"44","PA1","I/O","ETH_RX_CLK",""
"45","PA2","I/O","ETH_MDIO",""
"46","PH2","I/O","",""
"47","PH3","I/O","ETH_COL",""
"48","PH4","I/O","USB_OTG_HS_ULPI_NXT",""
"49","PH5","I/O","",""
"50","PA3","I/O","USB_OTG_HS_ULPI_D0",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PA4","I/O","I2S3_WS",""
"54","PA5","I/O","USB_OTG_HS_ULPI_CK",""
"55","PA6","I/O","LTDC_G2",""
"56","PA7","I/O","ETH_RX_DV",""
"57","PC4","I/O","ETH_RXD0",""
"58","PC5","I/O","ETH_RXD1",""
"59","VDD","Power","",""
"60","VSS","Power","",""
"61","PB0","I/O","USB_OTG_HS_ULPI_D1",""
"62","PB1","I/O","USB_OTG_HS_ULPI_D2",""
"63","PB2","I/O","I2S3_SD",""
"64","PI15","I/O","",""
"65","PJ0","I/O","LTDC_R7",""
"66","PJ1","I/O","",""
"67","PJ2","I/O","LTDC_R3",""
"68","PJ3","I/O","LTDC_R4",""
"69","PJ4","I/O","LTDC_R5",""
"70","PF11","I/O","",""
"71","PF12","I/O","FMC_A6",""
"72","VSS","Power","",""
"73","VDD","Power","",""
"74","PF13","I/O","FMC_A7",""
"75","PF14","I/O","FMC_A8",""
"76","PF15","I/O","FMC_A9",""
"77","PG0","I/O","FMC_A10",""
"78","PG1","I/O","FMC_A11",""
"79","PE7","I/O","FMC_D4",""
"80","PE8","I/O","FMC_D5",""
"81","PE9","I/O","FMC_D6",""
"82","VSS","Power","",""
"83","VDD","Power","",""
"84","PE10","I/O","FMC_D7",""
"85","PE11","I/O","LTDC_G3",""
"86","PE12","I/O","SPI4_SCK",""
"87","PE13","I/O","SPI4_MISO",""
"88","PE14","I/O","SPI4_MOSI",""
"89","PE15","I/O","",""
"90","PB10","I/O","USB_OTG_HS_ULPI_D3",""
"91","PB11","I/O","USB_OTG_HS_ULPI_D4",""
"92","VCAP_1","Power","",""
"93","VSS","Power","",""
"94","VDD","Power","",""
"95","PJ5","I/O","LTDC_R6",""
"96","PH6","I/O","ETH_RXD2",""
"97","PH7","I/O","ETH_RXD3",""
"98","PH8","I/O","",""
"99","PH9","I/O","",""
"100","PH10","I/O","",""
"101","PH11","I/O","I2C4_SCL",""
"102","PH12","I/O","I2C4_SDA",""
"103","VDD","Power","",""
"104","PB12","I/O","USB_OTG_HS_ULPI_D5",""
"105","PB13","I/O","USB_OTG_HS_ULPI_D6",""
"106","PB14","I/O","UART4_RTS",""
"107","PB15","I/O","UART4_CTS",""
"108","PD8","I/O","USART3_TX",""
"109","PD9","I/O","USART3_RX",""
"110","PD10","I/O","LTDC_B3",""
"111","PD11","I/O","FMC_A16",""
"112","PD12","I/O","FMC_A17",""
"113","PD13","I/O","FMC_A18",""
"114","VSS","Power","",""
"115","VDD","Power","",""
"116","PD14","I/O","FMC_D0",""
"117","PD15","I/O","FMC_D1",""
"118","PJ6","I/O","",""
"119","PJ7","I/O","",""
"120","PJ8","I/O","",""
"121","PJ9","I/O","",""
"122","PJ10","I/O","",""
"123","PJ11","I/O","LTDC_G4",""
"124","VDD","Power","",""
"125","VSS","Power","",""
"126","PK0","I/O","LTDC_G5",""
"127","PK1","I/O","LTDC_G6",""
"128","PK2","I/O","LTDC_G7",""
"129","PG2","I/O","FMC_A12",""
"130","PG3","I/O","FMC_A13",""
"131","PG4","I/O","FMC_A14",""
"132","PG5","I/O","FMC_A15",""
"133","PG6","I/O","",""
"134","PG7","I/O","",""
"135","PG8","I/O","",""
"136","VSS","Power","",""
"137","VDDUSB","Power","",""
"138","PC6","I/O","I2S2_MCK",""
"139","PC7","I/O","FMC_NE1",""
"140","PC8","I/O","SDMMC1_D0",""
"141","PC9","I/O","SDMMC1_D1",""
"142","PA8","I/O","RCC_MCO_1",""
"143","PA9","I/O","I2S2_CK",""
"144","PA10","I/O","LTDC_B4",""
"145","PA11","I/O","UART4_RX",""
"146","PA12","I/O","UART4_TX",""
"147","PA13","I/O","",""
"148","VCAP_2","Power","",""
"149","VSS","Power","",""
"150","VDD","Power","",""
"151","PH13","I/O","",""
"152","PH14","I/O","",""
"153","PH15","I/O","",""
"154","PI0","I/O","I2S2_WS",""
"155","PI1","I/O","",""
"156","PI2","I/O","",""
"157","PI3","I/O","I2S2_SD",""
"158","VDD","Power","",""
"159","PA14","I/O","",""
"160","PA15","I/O","",""
"161","PC10","I/O","SDMMC1_D2",""
"162","PC11","I/O","SDMMC1_D3",""
"163","PC12","I/O","SDMMC1_CK",""
"164","PD0","I/O","FMC_D2",""
"165","PD1","I/O","FMC_D3",""
"166","PD2","I/O","SDMMC1_CMD",""
"167","PD3","I/O","",""
"168","PD4","I/O","FMC_NOE",""
"169","PD5","I/O","FMC_NWE",""
"170","VSS","Power","",""
"171","VDDSDMMC","Power","",""
"172","PD6","I/O","FMC_NWAIT",""
"173","PD7","I/O","",""
"174","PJ12","I/O","",""
"175","PJ13","I/O","",""
"176","PJ14","I/O","",""
"177","PJ15","I/O","",""
"178","PG9","I/O","",""
"179","PG10","I/O","",""
"180","PG11","I/O","ETH_TX_EN",""
"181","PG12","I/O","",""
"182","PG13","I/O","ETH_TXD0",""
"183","PG14","I/O","ETH_TXD1",""
"184","VSS","Power","",""
"185","VDD","Power","",""
"186","PK3","I/O","",""
"187","PK4","I/O","LTDC_B5",""
"188","PK5","I/O","LTDC_B6",""
"189","PK6","I/O","LTDC_B7",""
"190","PK7","I/O","LTDC_DE",""
"191","PG15","I/O","",""
"192","PB3","I/O","I2S3_CK",""
"193","PB4","I/O","",""
"194","PB5","I/O","USB_OTG_HS_ULPI_D7",""
"195","PB6","I/O","QUADSPI_BK1_NCS",""
"196","PB7","I/O","",""
"197","BOOT0","Boot","",""
"198","PB8","I/O","ETH_TXD3",""
"199","PB9","I/O","",""
"200","PE0","I/O","",""
"201","PE1","I/O","",""
"202","VSS","Power","",""
"203","PDR_ON","Reset","",""
"204","VDD","Power","",""
"205","PI4","I/O","",""
"206","PI5","I/O","",""
"207","PI6","I/O","",""
"208","PI7","I/O","",""
